device,device_type,conf_os_fmly_nm,conf_browser_fmly_nm,user_agent_long_tx
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 6.0; Thrill Boost Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.1.1; SM-J700T Build/NMF26X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Mobile Safari/537.36 EdgA/41.0.0.1656"
Mobile,iPhone,iOS,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Mobile/14B150 KAKAOTALK 7.0.2"
Tablet,Android Tablet,Android,Chrome,"Mozilla/5.0 (Linux; Android 5.0.2; SM-P905 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; SM-G950W Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Mobile Safari/537.36 EdgA/41.0.0.1656"
Desktop,PC,Windows,Chrome,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3300.0 Safari/537.36"
Mobile,Android,Android,Chrome,"NerdWallet/2.7.0 (android; 23; en-US) ### Mozilla/5.0 (Linux; Android 6.0.1; Moto G Play Build/MPI24.241-2.35-1.5; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 6.0.1; ONE A2005 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36 Instagram 32.0.0.16.94 Android (23/6.0.1; 480dpi; 1080x1776; OnePlus; ONE A2005; OnePlus2; qcom; en_US; 91882539)"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.1.1; Moto E (4) Plus Build/NDRS26.58-33-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Mobile Safari/537.36"
Mobile,iPad,iOS,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_5 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Mobile/15D60 Instagram 32.0.0.14.97 (iPad7,4; iOS 11_2_5; en_US; en; scale=2.00; gamut=wide; 640x960)"
Tablet,Android Tablet,Android,Chrome,"Mozilla/5.0 (Linux; Android 5.1.1; A10 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; SM-G930V Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36 Instagram 32.0.0.16.94 Android (24/7.0; 420dpi; 1080x1920; samsung/Verizon; SM-G930V; heroqltevzw; qcom; en_US; 91882539)"
Desktop,PC,Windows,Chrome,"Mozilla/5.0 (Windows 98) AppleWebKit/5360 (KHTML, like Gecko) Chrome/54.0.837.0 Safari/5360"
Mobile,Android Tablet,Android,Android,UCWEB/2.0 (Java; U; MIDP-2.0; Nokia203/20.37) U2/1.0.0 UCMini/11.0.0.1016 (SpeedMode; Proxy; Android 6.0; HTC_One_M9 ) U2/1.0.0 Mobile
Mobile,Android,Android,Other,"Mozilla/5.0 (Linux; Android 7.0; LG-H918 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 YaBrowser/18.1.1.336.00 (alpha) Mobile Safari/537.36"
Desktop,PC,Windows,Chrome,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3346.8 Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 4.4.2; LG-D175f Build/KOT49I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.1.1; Moto G (5S) Plus Build/NPSS26.116-61-2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36"
Desktop,PC,Linux,Chrome,"Mozilla/5.0 (X11; U; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3084.66 Safari/537.36"
Tablet,Android Tablet,Android,Chrome,"Mozilla/5.0 (Linux; Android 4.4.2; A76s Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 6.0.1; SM-A300Y Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36"
Desktop,PC,Mac,Chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36 FirePHP/4Chrome"
Mobile,iPhone,iOS,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_5 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Mobile/15D60 Instagram 10.28.0 (iPhone8,1; iOS 11_2_5; en_US; en-US; scale=2.00; gamut=normal; 750x1334)"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 5.0.2; LG-X150 Build/LRX21M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; SM-G928K Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,iPhone,iOS,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_5 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Mobile/15D60 Flipboard/4.1.1 Flipboard/4.1.1 Flipboard/4.1.1"
Desktop,Other,Other,Other,;__CT_JOB_ID__:a08bf520-5bb4-47b2-b33f-94bb9b002c69;
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-G920V Build/NMF26F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36 AlohaBrowser/1.1.0.6"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 8.1.0; Redmi 4X Build/OPM1.171019.018) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android Tablet,Android,Other,Opera/9.80 (Android; Opera Mini/7.0.30496/87.26; U; en) Presto/2.12.423 Version/12.16
Mobile,Android,Android,Other,"Mozilla/5.0 (Linux; Android 5.0; SAMSUNG SM-G900A Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/6.4 Chrome/56.0.2924.87 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 6.0; Lenovo A7020a40 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
