justin_class,device,device_type,os_type,browser_type,count
Other,Mobile,Other,Other,Safari,7
Other,Mobile,PC,Linux,Safari,1
Tablet_iOS,Tablet,iPad,Mac,Safari,3
Tablet_iOS,Tablet,iPad,Windows,Safari,1
Tablet_Android,Tablet,Android Tablet,Android,Android,19062
Tablet_iOS,Tablet,iPad,Other,Other,42
Desktop,Desktop,Other,Linux,Chrome,52
Desktop,Desktop,Other,Linux,IE,1
Desktop,Desktop,PC,Windows,Safari,1357
Desktop,Desktop,Other,Linux,Other,1358
Mobile_iOS,Mobile,iPhone,Linux,Other,204
Other,Tablet,Tablet,Windows,IE,215
Desktop,Desktop,PC,Mac,IE,5
Mobile_Android,Mobile,iPhone,Android,Other,3
Desktop,Desktop,PC,Windows,Firefox,28018
Desktop,Desktop,Other,Windows,Other,1081
Desktop,Desktop,iPhone,iOS,Safari,45
Desktop,Desktop,iPad,Other,Other,80
Tablet_Android,Tablet,Android Tablet,Android,IE,22
Desktop,Desktop,Other,iOS,IE,1
Desktop,Desktop,Other,Other,Firefox,720
Mobile_Android,Mobile,Android Tablet,Android,Chrome,281
Mobile_Android,Mobile,iPad,Android,Chrome,63
Desktop,Desktop,Other,Windows,IE,756
Desktop,Desktop,Other,Windows,Chrome,15
Mobile_iOS,Mobile,iPhone,Other,Safari,841
Tablet_iOS,Tablet,iPad,Other,Chrome,5
Mobile_iOS,Mobile,iPhone,iOS,Safari,92388
Tablet_Android,Tablet,Android Tablet,Android,Firefox,104
Mobile_Android,Mobile,Android Tablet,Android,Android,37
Desktop,Desktop,PC,Other,Safari,4
Mobile_Android,Mobile,iPad,Android,Android,7
Desktop,Desktop,PC,Mac,Safari,5352
Tablet_Android,Tablet,Android Tablet,Android,Other,22817
Desktop,Desktop,Other,iOS,Other,383
Other,Mobile,PC,Windows,Chrome,46
Mobile_Android,Mobile,Android Tablet,Android,Firefox,17
Tablet_iOS,Tablet,iPad,Windows,Chrome,6
Desktop,Desktop,PC,Windows,Chrome,66114
Desktop,Desktop,Other,Other,Other,17197
Tablet_iOS,Tablet,iPad,iOS,Firefox,456
Desktop,Desktop,PC,Other,Firefox,630
Desktop,Desktop,iPhone,iOS,Other,237
