dw_site_visitor_id,variant_id,expmt_expsr_utc_ts_epoch
349432472,3325,1517268785.337
357036064,3324,1517269765.162
357057910,3325,1517272893.914
357763985,3325,1517353893.872
357524660,3324,1517338928.179
357392298,3325,1517318770.282
357764055,3325,1517343752.72
357401186,3324,1517325214.825
357376151,3325,1517325292.205
357764055,3325,1517343737.09
286645408,3325,1517354852.983
286645408,3325,1517354845.103
357408969,3325,1517345248.33
357707966,3324,1517327189.358
357558658,3325,1517312083.207
357392298,3325,1517318716.7
302496854,3325,1517355203.235
357524660,3324,1517338901.156
357524660,3324,1517338923.744
357376151,3325,1517325239.297
357558658,3325,1517312089.562
357524660,3324,1517339054.292
357764055,3325,1517343728.349
357480825,3325,1517347851.797
357764055,3325,1517343742.633
357376151,3325,1517325357.413
357524660,3324,1517339012.077
357524660,3324,1517339035.993
357421109,3324,1517315786.379
357668284,3324,1517355363.13
357764055,3325,1517343688.677
357543790,3324,1517321948.216
357524660,3324,1517339119.449
318700409,3325,1517313206.604
357764055,3325,1517343755.901
355599679,3324,1517333235.122
357498123,3325,1517299360.536
357524660,3324,1517339077.462
327365458,3325,1517280292.372
357432682,3325,1517330571.027
357474120,3324,1517337733.59
357524660,3324,1517338980.838
357524660,3324,1517339063.88
357524660,3324,1517339085.545
357474120,3324,1517337749.698
357706149,3325,1517340516.666
357668284,3324,1517355389.336
357638945,3325,1517282213.075
357764055,3325,1517343765.1
357763985,3325,1517353909.35
346353575,3324,1517352369.18
357543790,3324,1517321953.454
357421109,3324,1517315795.119
357719436,3325,1517334871.113
357707966,3324,1517327182.179
357480825,3325,1517347940.807
357421109,3324,1517315755.48
357474120,3324,1517337748.751
357524660,3324,1517338973.748
357360427,3324,1517339029.562
357764055,3325,1517343691.065
357524660,3324,1517339096.662
357637432,3324,1517304700.871
286645408,3325,1517354849.473
357392298,3325,1517318709.232
357480825,3325,1517347923.226
357524660,3324,1517338961.554
357474120,3324,1517337782.044
357558658,3325,1517312086.102
357524660,3324,1517339106.915
357668284,3324,1517355337.685
357360427,3324,1517339042.206
358040273,3325,1517408394.703
357854533,3324,1517440869.533
357892179,3325,1517433588.538
357970602,3324,1517430041.105
358199848,3324,1517430465.943
357892179,3325,1517433584.572
357883990,3325,1517438537.439
358199848,3324,1517430459.677
357793642,3324,1517425801.425
357892179,3325,1517433588.895
270597504,3325,1517405851.545
357970602,3324,1517430058.092
358213279,3324,1517409107.928
358213279,3324,1517409111.197
358011897,3325,1517408788.411
358153779,3325,1517441830.205
357835356,3324,1517409211.736
357854533,3324,1517440855.655
357883990,3325,1517438477.093
357883990,3325,1517438556.033
358005272,3325,1517418292.208
358005272,3325,1517418314.944
358199848,3324,1517430501.846
357998139,3325,1517417372.129
357970602,3324,1517430086.389
357856031,3324,1517418444.433
357809926,3324,1517373170.185
357892179,3325,1517433585.19
357998139,3325,1517417357.309
357892179,3325,1517433594.543
357360427,3324,1517408787.713
357892179,3325,1517433589.837
357960446,3324,1517440656.158
358011897,3325,1517408801.717
357998139,3325,1517417353.435
357892179,3325,1517433579.154
358011897,3325,1517408780.218
357892179,3325,1517433569.472
358194278,3325,1517404276.887
357892179,3325,1517433584.19
270597504,3325,1517406588.344
357960446,3324,1517440634.538
357825378,3324,1517429592.818
357970602,3324,1517430068.422
357970602,3324,1517430095.448
358169948,3325,1517430093.007
358213279,3324,1517409126.704
