index,left_child,right_child,feature,threshold,0,1
0,1,2,0,605.9832522091378,271.0,107.0
1,-1,-1,-2,-2.0,41.0,0.0
2,3,10,0,692.7370689198082,230.0,107.0
3,4,9,0,682.0719098328016,94.0,10.0
4,5,6,5,6.128649191059474,78.0,5.0
5,-1,-1,-2,-2.0,43.0,0.0
6,7,8,1,0.9499404944065588,35.0,5.0
7,-1,-1,-2,-2.0,15.0,3.0
8,-1,-1,-2,-2.0,20.0,2.0
9,-1,-1,-2,-2.0,16.0,5.0
10,11,18,0,712.9895193055223,136.0,97.0
11,12,15,0,698.4526365890413,55.0,15.0
12,13,14,4,2.415146177362253,31.0,5.0
13,-1,-1,-2,-2.0,19.0,2.0
14,-1,-1,-2,-2.0,12.0,3.0
15,16,17,12,27.392614515215445,24.0,10.0
16,-1,-1,-2,-2.0,10.0,5.0
17,-1,-1,-2,-2.0,14.0,5.0
18,19,22,8,974.1180057763671,81.0,82.0
19,20,21,9,347.5696425859675,24.0,9.0
20,-1,-1,-2,-2.0,11.0,2.0
21,-1,-1,-2,-2.0,13.0,7.0
22,23,32,9,2219.495681661385,57.0,73.0
23,24,25,5,3.418327138022672,34.0,51.0
24,-1,-1,-2,-2.0,6.0,13.0
25,26,29,0,740.177071181674,28.0,38.0
26,27,28,5,8.364968065342385,18.0,14.0
27,-1,-1,-2,-2.0,10.0,8.0
28,-1,-1,-2,-2.0,8.0,6.0
29,30,31,9,1369.1968586228409,10.0,24.0
30,-1,-1,-2,-2.0,5.0,12.0
31,-1,-1,-2,-2.0,5.0,12.0
32,33,36,8,7228.900454213331,23.0,22.0
33,34,35,4,0.8947634002635085,15.0,12.0
34,-1,-1,-2,-2.0,7.0,6.0
35,-1,-1,-2,-2.0,8.0,6.0
36,-1,-1,-2,-2.0,8.0,10.0
