model_idx,tree_idx,node_idx,lchild_idx,rchild_idx,feature_idx,threshold,neg,pos
0,0,0,1,8,10,0.5,1792,1146
0,0,1,2,5,52,0.5,1126,596
0,0,2,3,4,11,0.5,727,241
0,0,3,-1,-1,-2,-2.0,434,184
0,0,4,-1,-1,-2,-2.0,293,57
0,0,5,6,7,3,357.5,399,355
0,0,6,-1,-1,-2,-2.0,301,301
0,0,7,-1,-1,-2,-2.0,98,54
0,0,8,9,12,122,0.5,666,550
0,0,9,10,11,81,0.5,254,289
0,0,10,-1,-1,-2,-2.0,221,274
0,0,11,-1,-1,-2,-2.0,33,15
0,0,12,13,14,2,723.01904296875,412,261
0,0,13,-1,-1,-2,-2.0,349,191
0,0,14,-1,-1,-2,-2.0,63,70
0,1,15,16,23,93,0.5,1792,1146
0,1,16,17,20,52,0.5,1452,1076
0,1,17,18,19,2,693.516845703125,426,191
0,1,18,-1,-1,-2,-2.0,265,77
0,1,19,-1,-1,-2,-2.0,161,114
0,1,20,21,22,123,0.5,1026,885
0,1,21,-1,-1,-2,-2.0,618,398
0,1,22,-1,-1,-2,-2.0,408,487
0,1,23,24,27,2,727.04931640625,340,70
0,1,24,25,26,69,0.5,318,56
0,1,25,-1,-1,-2,-2.0,302,56
0,1,26,-1,-1,-2,-2.0,16,0
0,1,27,28,29,42,0.5,22,14
0,1,28,-1,-1,-2,-2.0,18,8
0,1,29,-1,-1,-2,-2.0,4,6
0,2,30,31,38,52,0.5,1792,1146
0,2,31,32,35,2,718.0031127929688,766,261
0,2,32,33,34,93,0.5,653,180
0,2,33,-1,-1,-2,-2.0,357,129
0,2,34,-1,-1,-2,-2.0,296,51
0,2,35,36,37,54,0.5,113,81
0,2,36,-1,-1,-2,-2.0,102,59
0,2,37,-1,-1,-2,-2.0,11,22
0,2,38,39,42,123,0.5,1026,885
0,2,39,40,41,2,713.4471435546875,618,398
0,2,40,-1,-1,-2,-2.0,443,240
0,2,41,-1,-1,-2,-2.0,175,158
0,2,42,43,44,81,0.5,408,487
0,2,43,-1,-1,-2,-2.0,358,455
0,2,44,-1,-1,-2,-2.0,50,32
0,3,45,46,53,52,0.5,1792,1146
0,3,46,47,50,2,718.0031127929688,766,261
0,3,47,48,49,49,0.5,653,180
0,3,48,-1,-1,-2,-2.0,380,138
0,3,49,-1,-1,-2,-2.0,273,42
0,3,50,51,52,89,0.5,113,81
0,3,51,-1,-1,-2,-2.0,100,79
0,3,52,-1,-1,-2,-2.0,13,2
0,3,53,54,57,123,0.5,1026,885
0,3,54,55,56,2,713.4471435546875,618,398
0,3,55,-1,-1,-2,-2.0,443,240
0,3,56,-1,-1,-2,-2.0,175,158
0,3,57,58,59,4,140400.0,408,487
0,3,58,-1,-1,-2,-2.0,45,78
0,3,59,-1,-1,-2,-2.0,363,409
0,4,60,61,68,52,0.5,1792,1146
0,4,61,62,65,2,718.0031127929688,766,261
0,4,62,63,64,49,0.5,653,180
0,4,63,-1,-1,-2,-2.0,380,138
0,4,64,-1,-1,-2,-2.0,273,42
0,4,65,66,67,54,0.5,113,81
0,4,66,-1,-1,-2,-2.0,102,59
0,4,67,-1,-1,-2,-2.0,11,22
0,4,68,69,72,123,0.5,1026,885
0,4,69,70,71,2,713.4471435546875,618,398
0,4,70,-1,-1,-2,-2.0,443,240
0,4,71,-1,-1,-2,-2.0,175,158
0,4,72,73,74,0,0.5,408,487
0,4,73,-1,-1,-2,-2.0,383,471
0,4,74,-1,-1,-2,-2.0,25,16
0,5,75,76,83,52,0.5,1792,1146
0,5,76,77,80,54,0.5,766,261
0,5,77,78,79,2,689.5655517578125,688,201
0,5,78,-1,-1,-2,-2.0,415,83
0,5,79,-1,-1,-2,-2.0,273,118
0,5,80,81,82,2,723.8900146484375,78,60
0,5,81,-1,-1,-2,-2.0,73,44
0,5,82,-1,-1,-2,-2.0,5,16
0,5,83,84,87,123,0.5,1026,885
0,5,84,85,86,2,713.4471435546875,618,398
0,5,85,-1,-1,-2,-2.0,443,240
0,5,86,-1,-1,-2,-2.0,175,158
0,5,87,88,89,2,733.962646484375,408,487
0,5,88,-1,-1,-2,-2.0,377,421
0,5,89,-1,-1,-2,-2.0,31,66
0,6,90,91,98,93,0.5,1792,1146
0,6,91,92,95,110,0.5,1452,1076
0,6,92,93,94,122,0.5,1044,897
0,6,93,-1,-1,-2,-2.0,413,490
0,6,94,-1,-1,-2,-2.0,631,407
0,6,95,96,97,55,0.5,408,179
0,6,96,-1,-1,-2,-2.0,78,60
0,6,97,-1,-1,-2,-2.0,330,119
0,6,98,99,102,2,727.04931640625,340,70
0,6,99,100,101,81,0.5,318,56
0,6,100,-1,-1,-2,-2.0,299,56
0,6,101,-1,-1,-2,-2.0,19,0
0,6,102,103,104,2,739.2178955078125,22,14
0,6,103,-1,-1,-2,-2.0,13,12
0,6,104,-1,-1,-2,-2.0,9,2
0,7,105,106,113,52,0.5,1792,1146
0,7,106,107,110,2,718.0031127929688,766,261
0,7,107,108,109,49,0.5,653,180
0,7,108,-1,-1,-2,-2.0,380,138
