variant,uuid,pgviews
C,1,1
T,2,3
T,3,1
C,4,1
C,5,5
T,6,3
C,7,1
C,8,5
T,9,2
T,10,1
C,11,1
T,12,1
T,13,2
T,14,9
T,15,1
T,16,1
C,17,1
C,18,3
T,19,7
T,20,1
C,21,1
C,22,1
T,23,3
T,24,1
T,25,5
T,26,7
C,27,1
T,28,5
T,29,5
C,30,1
T,31,1
T,32,2
T,33,1
T,34,1
C,35,6
T,36,4
C,37,1
T,38,3
T,39,9
T,40,5
T,41,6
C,42,3
T,43,1
T,44,4
C,45,2
T,46,1
T,47,1
T,48,1
T,49,1
C,50,1
C,51,6
T,52,5
C,53,1
T,54,1
C,55,8
T,56,3
T,57,2
T,58,1
T,59,3
T,60,1
T,61,4
C,62,2
T,63,9
T,64,13
T,65,1
C,66,1
C,67,1
T,68,1
C,69,2
T,70,1
C,71,1
C,72,1
T,73,1
T,74,1
C,75,2
T,76,1
C,77,7
C,78,4
T,79,3
T,80,2
C,81,7
T,82,4
C,83,2
T,84,5
C,85,1
T,86,1
T,87,1
C,88,2
T,89,3
T,90,1
C,91,3
T,92,3
T,93,8
T,94,2
T,95,2
C,96,5
C,97,1
C,98,1
T,99,2
T,100,1
T,101,12
T,102,6
C,103,2
T,104,1
T,105,2
C,106,5
T,107,6
T,108,2
T,109,5
T,110,6
T,111,1
T,112,1
T,113,2
C,114,1
T,115,9
T,116,6
T,117,1
T,118,1
T,119,2
T,120,1
C,121,1
T,122,1
T,123,1
T,124,1
C,125,1
T,126,2
T,127,1
T,128,3
T,129,2
C,130,9
T,131,6
T,132,2
T,133,3
T,134,1
T,135,1
T,136,4
T,137,1
T,138,1
C,139,1
C,140,1
T,141,1
C,142,1
T,143,1
T,144,6
T,145,1
T,146,1
T,147,1
T,148,1
T,149,5
T,150,3
T,151,1
T,152,1
T,153,1
T,154,1
C,155,1
T,156,1
C,157,1
C,158,1
C,159,1
T,160,1
T,161,1
T,162,8
C,163,1
T,164,1
T,165,2
T,166,1
T,167,6
T,168,3
C,169,2
C,170,1
T,171,1
T,172,2
C,173,1
T,174,4
T,175,5
C,176,1
C,177,1
T,178,1
T,179,1
T,180,1
T,181,9
C,182,1
C,183,2
T,184,4
T,185,1
T,186,2
C,187,1
T,188,1
C,189,1
T,190,4
T,191,1
T,192,11
T,193,1
T,194,3
T,195,10
T,196,1
C,197,1
T,198,3
T,199,1
T,200,1
T,201,8
T,202,1
T,203,3
T,204,2
T,205,20
C,206,1
T,207,1
T,208,2
C,209,1
T,210,1
T,211,1
T,212,2
C,213,1
T,214,1
T,215,1
T,216,1
T,217,1
T,218,1
T,219,2
T,220,1
T,221,1
T,222,1
T,223,1
T,224,7
T,225,3
T,226,1
T,227,2
T,228,1
C,229,1
C,230,1
C,231,1
T,232,1
T,233,1
T,234,1
T,235,1
T,236,1
C,237,1
C,238,2
C,239,1
T,240,2
T,241,2
T,242,12
T,243,2
C,244,1
T,245,9
T,246,2
T,247,4
T,248,3
T,249,6
T,250,1
C,251,1
C,252,1
T,253,1
T,254,4
T,255,1
C,256,3
C,257,1
T,258,15
C,259,1
T,260,6
T,261,1
T,262,1
T,263,6
T,264,1
T,265,1
T,266,3
T,267,1
C,268,1
T,269,2
T,270,1
T,271,1
T,272,6
C,273,1
C,274,1
