variant,uuid,pgviews
V3,1,1
V1,2,5
V2,3,2
V1,4,1
V1,5,2
V3,6,1
V3,7,1
V3,8,1
V1,9,8
V2,10,1
V3,11,3
V2,12,1
V3,13,1
V3,14,1
V2,15,1
V3,16,10
V3,17,6
V3,18,1
V3,19,6
V1,20,1
V3,21,2
V2,22,1
V2,23,1
V1,24,1
V1,25,1
V2,26,1
V2,27,3
V2,28,4
V1,29,1
V3,30,1
V3,31,1
V3,32,1
V1,33,1
V1,34,1
V1,35,4
V1,36,6
V2,37,1
V2,38,1
V1,39,1
V2,40,12
V2,41,3
V1,42,2
V1,43,1
V1,44,1
V2,45,3
V3,46,3
V3,47,4
V3,48,1
V2,49,1
V3,50,1
V1,51,1
V2,52,1
V2,53,4
V3,54,1
V1,55,9
V2,56,1
V1,57,1
V1,58,5
V1,59,4
V2,60,1
V3,61,3
V2,62,1
V3,63,2
V3,64,9
V1,65,1
V3,66,4
V1,67,1
V1,68,1
V2,69,1
V3,70,3
V3,71,4
V1,72,1
V1,73,1
V1,74,1
V1,75,1
V2,76,1
V3,77,1
V2,78,4
V1,79,1
V1,80,6
V3,81,4
V3,82,1
V1,83,1
V1,84,2
V2,85,1
V1,86,1
V3,87,1
V2,88,1
V3,89,3
V2,90,1
V3,91,1
V2,92,2
V3,93,13
V1,94,1
V3,95,1
V2,96,2
V1,97,3
V1,98,1
V1,99,1
V3,100,10
V1,101,6
V1,102,3
V3,103,1
V3,104,1
V3,105,5
V1,106,1
V3,107,7
V3,108,4
V1,109,1
V2,110,1
V2,111,1
V2,112,2
V3,113,1
V2,114,1
V1,115,1
V1,116,1
V3,117,1
V1,118,4
V2,119,2
V2,120,4
V2,121,1
V3,122,6
V3,123,6
V2,124,2
V3,125,3
V1,126,4
V3,127,1
V3,128,12
V1,129,1
V2,130,2
V1,131,1
V2,132,1
V1,133,3
V3,134,3
V1,135,1
V1,136,1
V1,137,6
V2,138,1
V3,139,20
V1,140,6
V3,141,3
V1,142,1
V3,143,5
V3,144,1
V3,145,5
