delta,z,confidence_level
0.0,2.0159290413,0.978096301841
0.05,1.72842064238,0.958043581363
0.1,1.45414652023,0.927047155828
0.15,1.19262956992,0.883492760092
0.2,0.943357458514,0.827250952399
0.25,0.705797329306,0.759842908417
0.3,0.479407495863,0.684175619044
0.35,0.263646577046,0.603973867696
0.4,0.0579804917659,0.523117916151
0.45,-0.138112311255,0.445075828025
0.5,-0.325137060712,0.372538670511
0.55,-0.503580025891,0.307278265826
0.6,-0.67390679876,0.250185284723
0.65,-0.836561297713,0.20141960389
0.7,-0.991965330634,0.160607218935
0.75,-1.14051858501,0.127035157196
0.8,-1.28259893829,0.099816311171
0.85,-1.41856300303,0.0780132292277
0.9,-1.54874683892,0.0607212947261
0.95,-1.67346677821,0.0471177206731
1.0,-1.7930203231,0.0364848372486
