uuid,pgviews
1547,1
1200,2
1790,16
1383,2
1269,1
1912,3
1948,11
1949,1
1257,1
1942,3
1565,3
1941,6
1946,4
1947,4
1945,1
818,2
819,1
346,4
347,1
341,1
342,15
343,1
811,1
812,2
813,1
348,3
1148,5
817,1
1149,1
718,1
1793,3
716,2
715,1
714,1
713,2
712,7
1795,1
1794,2
1490,1
915,7
1732,4
1493,1
1494,3
1265,3
1496,1
914,2
606,1
1499,1
1264,11
917,2
1700,2
1701,1
1702,9
1703,1
1704,1
1705,3
1706,4
1061,1
1709,6
1062,1
1064,8
619,6
910,1
1999,5
913,4
298,1
299,1
296,1
297,9
295,1
1662,10
290,1
1660,4
591,1
590,6
593,1
1084,1
199,1
198,3
597,3
1080,1
195,10
194,3
1122,1
196,1
191,1
190,4
193,1
192,11
270,1
271,1
272,6
275,7
276,1
277,3
278,3
279,2
738,1
1797,2
1454,1
1849,1
1780,2
1359,1
1067,1
524,1
526,2
1408,1
1018,3
1019,1
522,1
523,9
1014,6
1450,1
1016,1
1017,1
1010,1
529,1
1013,1
1025,2
1236,1
1237,2
1230,4
1338,1
1491,1
1233,1
443,1
442,9
441,4
440,1
447,1
1239,5
445,7
1332,2
108,2
109,5
1135,2
102,6
1542,1
100,1
101,12
107,6
104,1
105,2
902,4
903,2
39,9
38,3
907,1
1961,1
1932,1
33,1
32,2
31,1
909,5
1847,1
36,4
1845,9
34,1
641,1
640,1
643,1
642,1
645,3
644,16
438,3
439,1
436,1
648,1
1448,1
435,1
433,1
430,5
1538,1
1783,2
1657,4
338,1
335,1
336,1
331,4
330,5
333,2
332,1
1708,1
1120,1
1908,1
1907,1
1904,1
1902,11
1903,1
1900,1
854,3
855,9
856,5
857,1
851,4
852,8
853,7
858,1
1523,2
6,3
1469,14
1468,1
1959,1
1976,1
1960,2
1434,2
1187,1
99,2
1085,7
1612,7
90,1
93,8
92,3
95,2
94,2
1991,2
1622,5
1993,2
1620,4
1574,1
1994,2
1997,1
1624,1
1216,10
814,2
1629,3
1628,1
1684,5
1573,5
1485,3
1787,5
1962,1
740,1
742,1
559,1
746,10
1316,2
748,2
749,5
553,1
552,6
1314,1
234,1
235,1
236,1
1439,1
1351,1
232,1
233,1
1050,8
1198,1
1053,1
1054,1
