uuid,pgviews
1268,1
1868,1
1525,8
1940,6
1526,1
344,1
819,1
346,1
810,5
1260,1
719,1
1990,3
715,1
1523,5
1796,8
710,3
1494,1
1495,1
420,2
1498,3
1995,1
1994,3
1700,5
1062,3
1064,1
1669,6
299,2
1667,6
297,1
1665,1
1390,7
1663,1
293,4
1087,2
590,2
593,9
1083,5
1081,1
596,1
195,1
1121,5
193,1
1088,1
278,3
279,5
525,3
1408,1
521,4
523,4
1402,6
1401,1
1017,1
1010,2
529,6
1012,2
1235,3
1230,1
1233,2
1334,1
441,5
440,1
1331,3
446,4
1333,2
38,1
905,1
1843,3
37,1
1846,1
1845,3
641,1
1240,6
1535,1
1534,4
644,2
439,2
434,1
432,1
430,10
431,2
338,1
334,2
337,1
330,3
332,2
1908,2
1909,1
1906,1
1902,1
855,1
857,1
850,8
858,1
90,1
92,2
96,2
1623,1
1622,2
1621,7
1627,6
1626,1
1997,2
1996,1
745,1
746,11
749,1
238,10
239,1
236,1
237,15
231,5
232,1
1051,2
1311,4
1058,1
1193,2
1192,1
1697,5
1692,1
1756,1
155,1
1752,1
1751,1
1699,1
1177,1
1175,3
1173,4
610,5
1273,4
617,1
614,1
615,1
1281,5
818,1
942,1
1288,8
940,2
1472,1
1579,1
1477,1
1571,1
1479,5
1576,3
683,1
682,1
1307,3
1301,1
1497,2
132,1
130,2
495,1
496,1
138,1
26,1
27,3
22,1
23,1
1838,1
1220,1
28,4
407,1
406,1
405,2
1372,1
1374,1
401,3
1376,1
934,11
1951,1
1952,1
1728,3
379,4
829,1
370,1
827,1
375,1
374,8
376,1
146,7
708,12
705,8
706,5
707,2
701,6
702,2
703,1
88,1
1486,2
1485,3
398,22
85,1
1713,4
1710,1
1592,2
1653,1
1651,1
1654,6
586,1
1138,13
581,1
1993,1
1668,1
1137,1
244,1
247,1
148,2
242,8
1434,2
1664,5
1430,1
1431,1
1438,1
1381,3
519,1
518,2
511,7
1006,2
513,1
1002,1
517,10
516,4
458,2
1349,5
621,1
627,2
626,5
624,1
1340,3
1341,3
1342,3
453,4
1345,5
1873,1
175,1
174,1
172,3
171,5
1879,3
974,1
971,2
970,1
657,2
1501,1
1506,7
653,1
1504,1
194,11
188,1
1509,2
658,1
1507,11
1918,1
1126,1
1910,1
1913,1
1916,1
10,1
12,1
15,1
860,1
883,6
882,6
886,8
1289,2
1972,4
1971,2
1964,1
1614,1
1611,1
320,2
321,2
327,2
328,1
776,12
770,4
773,1
76,1
78,4
1570,1
1047,1
1049,7
1048,1
1769,7
1685,1
359,4
1689,1
1574,1
1766,1
1142,6
1143,1
1269,1
1141,1
1146,5
668,7
1262,4
665,1
228,1
663,1
662,1
661,3
769,1
1547,1
1544,6
1540,1
698,2
1548,1
541,1
1468,1
544,1
549,9
1461,2
1317,2
994,1
990,4
993,7
998,1
120,4
121,1
124,2
1407,1
1821,1
928,1
417,2
410,1
1389,2
920,1
921,7
922,1
923,12
1380,6
925,1
926,12
927,1
312,4
1947,1
315,2
1920,6
1923,1
1926,6
1927,5
1928,2
833,1
834,6
3,2
369,1
364,1
362,3
361,1
1830,2
383,1
384,1
387,1
1532,7
786,2
780,5
782,1
1642,1
1727,6
1724,2
630,1
573,1
571,2
577,1
60,1
62,1
69,1
250,1
255,1
1848,2
1371,6
1588,1
1424,7
1428,16
1373,10
731,2
730,2
734,1
508,1
1032,11
738,2
505,19
503,1
1034,3
1035,2
1212,4
1210,1
633,1
469,1
635,1
465,5
1357,5
1356,1
462,5
1674,1
901,1
168,1
1864,1
1641,1
166,1
160,1
964,1
967,2
1643,2
969,1
1106,2
1456,1
1450,1
1103,1
1101,1
1517,1
1673,7
1458,1
1513,7
1241,2
1816,13
1812,11
875,1
1819,1
1244,1
898,1
1246,2
1575,2
1086,8
1974,2
1605,1
1604,4
1607,2
1970,10
355,3
1539,1
803,7
802,4
800,1
805,1
358,1
1789,1
215,1
1782,1
761,10
218,1
41,3
1777,3
1772,2
1076,1
1075,5
1778,3
289,1
1561,12
281,1
1675,10
283,2
1670,4
1672,4
286,1
1158,1
1092,5
1093,3
1150,1
672,3
262,1
261,1
264,2
1551,1
1555,1
1554,3
1556,3
56,1
53,4
52,1
532,1
1413,8
1415,6
1417,5
1322,9
988,5
1321,1
1326,2
1327,1
1325,2
983,1
980,4
981,1
987,1
114,1
111,1
110,1
112,2
119,2
204,1
1858,5
207,2
1850,1
1851,1
1852,2
1854,1
1855,7
1856,9
1857,1
1524,1
1257,3
1254,4
919,1
918,1
1522,5
1251,3
1397,1
914,1
425,1
1259,1
308,1
300,5
304,5
1937,3
1935,2
1938,1
846,1
822,1
1405,1
2000,2
1986,1
1631,2
1985,10
1982,1
1983,3
1639,4
568,1
755,3
754,1
565,7
1595,2
507,1
225,3
1862,1
1180,1
1181,1
721,1
1744,1
1745,1
1741,1
605,1
1165,3
607,3
1160,2
157,1
602,1
609,1
1203,13
1898,1
1897,1
1890,8
1892,1
49,1
45,3
954,2
40,12
956,2
1353,3
1445,1
1112,1
1115,6
1560,1
1293,1
1449,1
1567,1
489,2
487,8
484,1
483,1
1803,1
1802,2
1367,1
470,6
1365,1
1363,1
474,1
1361,1
479,1
