delta,z,confidence_level
0.0,2.72873524123,0.996821113712
0.05,2.45731035524,0.993000915152
0.1,2.19515821675,0.985923874828
0.15,1.9422159691,0.973944519664
0.2,1.6983646404,0.955280519254
0.25,1.46343965092,0.92832644218
0.3,1.23724013645,0.89200102756
0.35,1.01953710954,0.846025977596
0.4,0.810080515766,0.791053049101
0.45,0.60860526406,0.728606942779
0.5,0.414836322964,0.66086913636
0.55,0.228492979758,0.590368493434
0.6,0.0492923593635,0.519656845769
0.65,-0.1230477037,0.451034661433
0.7,-0.288806353073,0.386364785069
0.75,-0.44825787807,0.326983548156
0.8,-0.60167028895,0.273696815439
0.85,-0.749304235945,0.226836927637
0.9,-0.891412215842,0.186354033293
0.95,-1.02823801721,0.151918939688
1.0,-1.16001636209,0.12302107223
